,0.0,0.0001,0.001,0.01,0.1,1.0,10.0
32,"tensor(16.4716, grad_fn=<MulBackward0>)","tensor(19.3808, grad_fn=<MulBackward0>)","tensor(22.4643, grad_fn=<MulBackward0>)","tensor(10.8081, grad_fn=<MulBackward0>)","tensor(1.1306, grad_fn=<MulBackward0>)","tensor(0.0253, grad_fn=<MulBackward0>)","tensor(0.0012, grad_fn=<MulBackward0>)"
33,"tensor(16.5437, grad_fn=<MulBackward0>)","tensor(19.4482, grad_fn=<MulBackward0>)","tensor(22.3096, grad_fn=<MulBackward0>)","tensor(10.7299, grad_fn=<MulBackward0>)","tensor(1.0931, grad_fn=<MulBackward0>)","tensor(0.0258, grad_fn=<MulBackward0>)","tensor(0.0007, grad_fn=<MulBackward0>)"
34,"tensor(16.5950, grad_fn=<MulBackward0>)","tensor(19.5346, grad_fn=<MulBackward0>)","tensor(22.1661, grad_fn=<MulBackward0>)","tensor(10.6275, grad_fn=<MulBackward0>)","tensor(1.0559, grad_fn=<MulBackward0>)","tensor(0.0250, grad_fn=<MulBackward0>)","tensor(0.0008, grad_fn=<MulBackward0>)"
35,"tensor(16.6274, grad_fn=<MulBackward0>)","tensor(19.5935, grad_fn=<MulBackward0>)","tensor(22.0013, grad_fn=<MulBackward0>)","tensor(10.5406, grad_fn=<MulBackward0>)","tensor(1.0152, grad_fn=<MulBackward0>)","tensor(0.0215, grad_fn=<MulBackward0>)","tensor(0.0009, grad_fn=<MulBackward0>)"
36,"tensor(16.6848, grad_fn=<MulBackward0>)","tensor(19.6655, grad_fn=<MulBackward0>)","tensor(21.8192, grad_fn=<MulBackward0>)","tensor(10.4692, grad_fn=<MulBackward0>)","tensor(0.9987, grad_fn=<MulBackward0>)","tensor(0.0209, grad_fn=<MulBackward0>)","tensor(0.0005, grad_fn=<MulBackward0>)"
37,"tensor(16.7311, grad_fn=<MulBackward0>)","tensor(19.7605, grad_fn=<MulBackward0>)","tensor(21.6952, grad_fn=<MulBackward0>)","tensor(10.3986, grad_fn=<MulBackward0>)","tensor(0.9765, grad_fn=<MulBackward0>)","tensor(0.0210, grad_fn=<MulBackward0>)","tensor(0.0006, grad_fn=<MulBackward0>)"
38,"tensor(16.7770, grad_fn=<MulBackward0>)","tensor(19.8067, grad_fn=<MulBackward0>)","tensor(21.6287, grad_fn=<MulBackward0>)","tensor(10.3326, grad_fn=<MulBackward0>)","tensor(0.9640, grad_fn=<MulBackward0>)","tensor(0.0193, grad_fn=<MulBackward0>)","tensor(0.0010, grad_fn=<MulBackward0>)"
39,"tensor(16.8657, grad_fn=<MulBackward0>)","tensor(19.8888, grad_fn=<MulBackward0>)","tensor(21.5623, grad_fn=<MulBackward0>)","tensor(10.2483, grad_fn=<MulBackward0>)","tensor(0.9568, grad_fn=<MulBackward0>)","tensor(0.0189, grad_fn=<MulBackward0>)","tensor(0.0006, grad_fn=<MulBackward0>)"
40,"tensor(16.9317, grad_fn=<MulBackward0>)","tensor(19.9735, grad_fn=<MulBackward0>)","tensor(21.4959, grad_fn=<MulBackward0>)","tensor(10.2072, grad_fn=<MulBackward0>)","tensor(0.9387, grad_fn=<MulBackward0>)","tensor(0.0205, grad_fn=<MulBackward0>)","tensor(0.0005, grad_fn=<MulBackward0>)"
41,"tensor(16.9337, grad_fn=<MulBackward0>)","tensor(20.0195, grad_fn=<MulBackward0>)","tensor(21.4249, grad_fn=<MulBackward0>)","tensor(10.1883, grad_fn=<MulBackward0>)","tensor(0.9258, grad_fn=<MulBackward0>)","tensor(0.0174, grad_fn=<MulBackward0>)","tensor(0.0007, grad_fn=<MulBackward0>)"
42,"tensor(17.0109, grad_fn=<MulBackward0>)","tensor(20.0520, grad_fn=<MulBackward0>)","tensor(21.4136, grad_fn=<MulBackward0>)","tensor(10.1215, grad_fn=<MulBackward0>)","tensor(0.9056, grad_fn=<MulBackward0>)","tensor(0.0170, grad_fn=<MulBackward0>)","tensor(0.0005, grad_fn=<MulBackward0>)"
43,"tensor(17.0812, grad_fn=<MulBackward0>)","tensor(20.1378, grad_fn=<MulBackward0>)","tensor(21.4180, grad_fn=<MulBackward0>)","tensor(10.0708, grad_fn=<MulBackward0>)","tensor(0.8924, grad_fn=<MulBackward0>)","tensor(0.0162, grad_fn=<MulBackward0>)","tensor(0.0008, grad_fn=<MulBackward0>)"
44,"tensor(17.1315, grad_fn=<MulBackward0>)","tensor(20.1594, grad_fn=<MulBackward0>)","tensor(21.3844, grad_fn=<MulBackward0>)","tensor(10.0065, grad_fn=<MulBackward0>)","tensor(0.8828, grad_fn=<MulBackward0>)","tensor(0.0154, grad_fn=<MulBackward0>)","tensor(0.0008, grad_fn=<MulBackward0>)"
45,"tensor(17.2354, grad_fn=<MulBackward0>)","tensor(20.1973, grad_fn=<MulBackward0>)","tensor(21.3639, grad_fn=<MulBackward0>)","tensor(9.9625, grad_fn=<MulBackward0>)","tensor(0.8746, grad_fn=<MulBackward0>)","tensor(0.0175, grad_fn=<MulBackward0>)","tensor(0.0005, grad_fn=<MulBackward0>)"
46,"tensor(17.2963, grad_fn=<MulBackward0>)","tensor(20.2438, grad_fn=<MulBackward0>)","tensor(21.3122, grad_fn=<MulBackward0>)","tensor(9.8875, grad_fn=<MulBackward0>)","tensor(0.8613, grad_fn=<MulBackward0>)","tensor(0.0149, grad_fn=<MulBackward0>)","tensor(0.0004, grad_fn=<MulBackward0>)"
47,"tensor(17.3138, grad_fn=<MulBackward0>)","tensor(20.2650, grad_fn=<MulBackward0>)","tensor(21.1942, grad_fn=<MulBackward0>)","tensor(9.8627, grad_fn=<MulBackward0>)","tensor(0.8548, grad_fn=<MulBackward0>)","tensor(0.0147, grad_fn=<MulBackward0>)","tensor(0.0003, grad_fn=<MulBackward0>)"
48,"tensor(17.3893, grad_fn=<MulBackward0>)","tensor(20.3375, grad_fn=<MulBackward0>)","tensor(21.1168, grad_fn=<MulBackward0>)","tensor(9.7991, grad_fn=<MulBackward0>)","tensor(0.8441, grad_fn=<MulBackward0>)","tensor(0.0162, grad_fn=<MulBackward0>)","tensor(0.0012, grad_fn=<MulBackward0>)"
49,"tensor(17.4395, grad_fn=<MulBackward0>)","tensor(20.3700, grad_fn=<MulBackward0>)","tensor(21.0221, grad_fn=<MulBackward0>)","tensor(9.7306, grad_fn=<MulBackward0>)","tensor(0.8364, grad_fn=<MulBackward0>)","tensor(0.0149, grad_fn=<MulBackward0>)","tensor(0.0005, grad_fn=<MulBackward0>)"
