,0.0,0.0001,0.001,0.01,0.1,1.0,10.0
27,"tensor(32.3424, grad_fn=<MulBackward0>)","tensor(26.9759, grad_fn=<MulBackward0>)","tensor(9.3922, grad_fn=<MulBackward0>)","tensor(21.1616, grad_fn=<MulBackward0>)","tensor(61.8050, grad_fn=<MulBackward0>)","tensor(180.8913, grad_fn=<MulBackward0>)","tensor(553.5583, grad_fn=<MulBackward0>)"
28,"tensor(32.0502, grad_fn=<MulBackward0>)","tensor(27.0734, grad_fn=<MulBackward0>)","tensor(9.4335, grad_fn=<MulBackward0>)","tensor(21.7803, grad_fn=<MulBackward0>)","tensor(64.0275, grad_fn=<MulBackward0>)","tensor(187.1476, grad_fn=<MulBackward0>)","tensor(582.6605, grad_fn=<MulBackward0>)"
29,"tensor(31.5564, grad_fn=<MulBackward0>)","tensor(27.1765, grad_fn=<MulBackward0>)","tensor(9.4465, grad_fn=<MulBackward0>)","tensor(22.3780, grad_fn=<MulBackward0>)","tensor(66.1588, grad_fn=<MulBackward0>)","tensor(193.2269, grad_fn=<MulBackward0>)","tensor(608.2774, grad_fn=<MulBackward0>)"
30,"tensor(31.1673, grad_fn=<MulBackward0>)","tensor(27.2043, grad_fn=<MulBackward0>)","tensor(9.4777, grad_fn=<MulBackward0>)","tensor(22.9882, grad_fn=<MulBackward0>)","tensor(68.5355, grad_fn=<MulBackward0>)","tensor(199.4257, grad_fn=<MulBackward0>)","tensor(630.1996, grad_fn=<MulBackward0>)"
31,"tensor(30.8254, grad_fn=<MulBackward0>)","tensor(27.2180, grad_fn=<MulBackward0>)","tensor(9.5349, grad_fn=<MulBackward0>)","tensor(23.4797, grad_fn=<MulBackward0>)","tensor(70.9059, grad_fn=<MulBackward0>)","tensor(205.7704, grad_fn=<MulBackward0>)","tensor(647.3268, grad_fn=<MulBackward0>)"
32,"tensor(30.6564, grad_fn=<MulBackward0>)","tensor(27.2353, grad_fn=<MulBackward0>)","tensor(9.6040, grad_fn=<MulBackward0>)","tensor(23.9507, grad_fn=<MulBackward0>)","tensor(73.2243, grad_fn=<MulBackward0>)","tensor(212.0845, grad_fn=<MulBackward0>)","tensor(664.4210, grad_fn=<MulBackward0>)"
33,"tensor(30.6012, grad_fn=<MulBackward0>)","tensor(27.2204, grad_fn=<MulBackward0>)","tensor(9.6826, grad_fn=<MulBackward0>)","tensor(24.3063, grad_fn=<MulBackward0>)","tensor(75.6337, grad_fn=<MulBackward0>)","tensor(218.6804, grad_fn=<MulBackward0>)","tensor(679.9998, grad_fn=<MulBackward0>)"
34,"tensor(30.5637, grad_fn=<MulBackward0>)","tensor(27.2263, grad_fn=<MulBackward0>)","tensor(9.7692, grad_fn=<MulBackward0>)","tensor(24.6187, grad_fn=<MulBackward0>)","tensor(77.9432, grad_fn=<MulBackward0>)","tensor(224.9655, grad_fn=<MulBackward0>)","tensor(696.2846, grad_fn=<MulBackward0>)"
35,"tensor(30.4861, grad_fn=<MulBackward0>)","tensor(27.1592, grad_fn=<MulBackward0>)","tensor(9.8514, grad_fn=<MulBackward0>)","tensor(24.9377, grad_fn=<MulBackward0>)","tensor(80.4478, grad_fn=<MulBackward0>)","tensor(231.4322, grad_fn=<MulBackward0>)","tensor(707.9443, grad_fn=<MulBackward0>)"
36,"tensor(30.4533, grad_fn=<MulBackward0>)","tensor(27.1413, grad_fn=<MulBackward0>)","tensor(9.9542, grad_fn=<MulBackward0>)","tensor(25.2640, grad_fn=<MulBackward0>)","tensor(82.9486, grad_fn=<MulBackward0>)","tensor(238.1824, grad_fn=<MulBackward0>)","tensor(719.9263, grad_fn=<MulBackward0>)"
37,"tensor(30.4739, grad_fn=<MulBackward0>)","tensor(27.1132, grad_fn=<MulBackward0>)","tensor(10.0701, grad_fn=<MulBackward0>)","tensor(25.5347, grad_fn=<MulBackward0>)","tensor(85.4614, grad_fn=<MulBackward0>)","tensor(245.0485, grad_fn=<MulBackward0>)","tensor(731.7916, grad_fn=<MulBackward0>)"
38,"tensor(30.4805, grad_fn=<MulBackward0>)","tensor(27.0902, grad_fn=<MulBackward0>)","tensor(10.1831, grad_fn=<MulBackward0>)","tensor(25.8998, grad_fn=<MulBackward0>)","tensor(88.1974, grad_fn=<MulBackward0>)","tensor(251.5644, grad_fn=<MulBackward0>)","tensor(742.1252, grad_fn=<MulBackward0>)"
39,"tensor(30.5138, grad_fn=<MulBackward0>)","tensor(27.0366, grad_fn=<MulBackward0>)","tensor(10.3109, grad_fn=<MulBackward0>)","tensor(26.2087, grad_fn=<MulBackward0>)","tensor(90.7087, grad_fn=<MulBackward0>)","tensor(257.7152, grad_fn=<MulBackward0>)","tensor(752.6452, grad_fn=<MulBackward0>)"
40,"tensor(30.5845, grad_fn=<MulBackward0>)","tensor(26.9736, grad_fn=<MulBackward0>)","tensor(10.4239, grad_fn=<MulBackward0>)","tensor(26.5059, grad_fn=<MulBackward0>)","tensor(93.4891, grad_fn=<MulBackward0>)","tensor(263.7488, grad_fn=<MulBackward0>)","tensor(761.8264, grad_fn=<MulBackward0>)"
41,"tensor(30.5944, grad_fn=<MulBackward0>)","tensor(26.8806, grad_fn=<MulBackward0>)","tensor(10.5148, grad_fn=<MulBackward0>)","tensor(26.8178, grad_fn=<MulBackward0>)","tensor(96.2909, grad_fn=<MulBackward0>)","tensor(270.5506, grad_fn=<MulBackward0>)","tensor(771.9527, grad_fn=<MulBackward0>)"
42,"tensor(30.6571, grad_fn=<MulBackward0>)","tensor(26.8329, grad_fn=<MulBackward0>)","tensor(10.6177, grad_fn=<MulBackward0>)","tensor(27.1380, grad_fn=<MulBackward0>)","tensor(98.9458, grad_fn=<MulBackward0>)","tensor(277.7670, grad_fn=<MulBackward0>)","tensor(779.4766, grad_fn=<MulBackward0>)"
43,"tensor(30.7145, grad_fn=<MulBackward0>)","tensor(26.7529, grad_fn=<MulBackward0>)","tensor(10.7271, grad_fn=<MulBackward0>)","tensor(27.5280, grad_fn=<MulBackward0>)","tensor(101.7972, grad_fn=<MulBackward0>)","tensor(284.5658, grad_fn=<MulBackward0>)","tensor(786.3398, grad_fn=<MulBackward0>)"
44,"tensor(30.7465, grad_fn=<MulBackward0>)","tensor(26.6656, grad_fn=<MulBackward0>)","tensor(10.8529, grad_fn=<MulBackward0>)","tensor(27.9068, grad_fn=<MulBackward0>)","tensor(104.5489, grad_fn=<MulBackward0>)","tensor(291.3213, grad_fn=<MulBackward0>)","tensor(796.2677, grad_fn=<MulBackward0>)"
45,"tensor(30.7793, grad_fn=<MulBackward0>)","tensor(26.6218, grad_fn=<MulBackward0>)","tensor(10.9865, grad_fn=<MulBackward0>)","tensor(28.2627, grad_fn=<MulBackward0>)","tensor(107.3688, grad_fn=<MulBackward0>)","tensor(298.2255, grad_fn=<MulBackward0>)","tensor(803.8051, grad_fn=<MulBackward0>)"
46,"tensor(30.8316, grad_fn=<MulBackward0>)","tensor(26.5479, grad_fn=<MulBackward0>)","tensor(11.1465, grad_fn=<MulBackward0>)","tensor(28.6266, grad_fn=<MulBackward0>)","tensor(110.2061, grad_fn=<MulBackward0>)","tensor(304.9570, grad_fn=<MulBackward0>)","tensor(805.9038, grad_fn=<MulBackward0>)"
47,"tensor(30.8105, grad_fn=<MulBackward0>)","tensor(26.4843, grad_fn=<MulBackward0>)","tensor(11.4355, grad_fn=<MulBackward0>)","tensor(28.9411, grad_fn=<MulBackward0>)","tensor(113.1097, grad_fn=<MulBackward0>)","tensor(311.4732, grad_fn=<MulBackward0>)","tensor(811.9373, grad_fn=<MulBackward0>)"
48,"tensor(30.7838, grad_fn=<MulBackward0>)","tensor(26.4125, grad_fn=<MulBackward0>)","tensor(11.7079, grad_fn=<MulBackward0>)","tensor(29.3271, grad_fn=<MulBackward0>)","tensor(115.9964, grad_fn=<MulBackward0>)","tensor(317.7296, grad_fn=<MulBackward0>)","tensor(819.1379, grad_fn=<MulBackward0>)"
49,"tensor(30.7396, grad_fn=<MulBackward0>)","tensor(26.3485, grad_fn=<MulBackward0>)","tensor(11.9660, grad_fn=<MulBackward0>)","tensor(29.6275, grad_fn=<MulBackward0>)","tensor(118.8987, grad_fn=<MulBackward0>)","tensor(324.4415, grad_fn=<MulBackward0>)","tensor(824.5967, grad_fn=<MulBackward0>)"
