,0.0,0.0001,0.001,0.01,0.1,1.0,10.0
10,"tensor(26.3460, grad_fn=<MulBackward0>)","tensor(10.3627, grad_fn=<MulBackward0>)","tensor(2.8261, grad_fn=<MulBackward0>)","tensor(0.0943, grad_fn=<MulBackward0>)","tensor(0.1107, grad_fn=<MulBackward0>)","tensor(0.2041, grad_fn=<MulBackward0>)","tensor(0.1969, grad_fn=<MulBackward0>)"
11,"tensor(26.2514, grad_fn=<MulBackward0>)","tensor(10.4288, grad_fn=<MulBackward0>)","tensor(2.5142, grad_fn=<MulBackward0>)","tensor(0.0852, grad_fn=<MulBackward0>)","tensor(0.1097, grad_fn=<MulBackward0>)","tensor(0.0649, grad_fn=<MulBackward0>)","tensor(0.0442, grad_fn=<MulBackward0>)"
12,"tensor(26.0418, grad_fn=<MulBackward0>)","tensor(10.4689, grad_fn=<MulBackward0>)","tensor(2.1529, grad_fn=<MulBackward0>)","tensor(0.0764, grad_fn=<MulBackward0>)","tensor(0.0420, grad_fn=<MulBackward0>)","tensor(0.0469, grad_fn=<MulBackward0>)","tensor(0.0760, grad_fn=<MulBackward0>)"
13,"tensor(25.7562, grad_fn=<MulBackward0>)","tensor(10.4429, grad_fn=<MulBackward0>)","tensor(1.8743, grad_fn=<MulBackward0>)","tensor(0.0625, grad_fn=<MulBackward0>)","tensor(0.0310, grad_fn=<MulBackward0>)","tensor(0.0557, grad_fn=<MulBackward0>)","tensor(0.0394, grad_fn=<MulBackward0>)"
14,"tensor(25.3351, grad_fn=<MulBackward0>)","tensor(10.4419, grad_fn=<MulBackward0>)","tensor(1.7317, grad_fn=<MulBackward0>)","tensor(0.0524, grad_fn=<MulBackward0>)","tensor(0.0422, grad_fn=<MulBackward0>)","tensor(0.0140, grad_fn=<MulBackward0>)","tensor(0.0185, grad_fn=<MulBackward0>)"
15,"tensor(24.9644, grad_fn=<MulBackward0>)","tensor(10.4193, grad_fn=<MulBackward0>)","tensor(1.6057, grad_fn=<MulBackward0>)","tensor(0.0552, grad_fn=<MulBackward0>)","tensor(0.0455, grad_fn=<MulBackward0>)","tensor(0.0202, grad_fn=<MulBackward0>)","tensor(0.0247, grad_fn=<MulBackward0>)"
16,"tensor(24.6755, grad_fn=<MulBackward0>)","tensor(10.4078, grad_fn=<MulBackward0>)","tensor(1.3529, grad_fn=<MulBackward0>)","tensor(0.0593, grad_fn=<MulBackward0>)","tensor(0.0535, grad_fn=<MulBackward0>)","tensor(0.0122, grad_fn=<MulBackward0>)","tensor(0.0063, grad_fn=<MulBackward0>)"
17,"tensor(24.4703, grad_fn=<MulBackward0>)","tensor(10.4324, grad_fn=<MulBackward0>)","tensor(1.3100, grad_fn=<MulBackward0>)","tensor(0.0544, grad_fn=<MulBackward0>)","tensor(0.0370, grad_fn=<MulBackward0>)","tensor(0.0051, grad_fn=<MulBackward0>)","tensor(0.0103, grad_fn=<MulBackward0>)"
18,"tensor(24.3403, grad_fn=<MulBackward0>)","tensor(10.4146, grad_fn=<MulBackward0>)","tensor(1.5364, grad_fn=<MulBackward0>)","tensor(0.0456, grad_fn=<MulBackward0>)","tensor(0.0149, grad_fn=<MulBackward0>)","tensor(0.0069, grad_fn=<MulBackward0>)","tensor(0.0041, grad_fn=<MulBackward0>)"
19,"tensor(24.2712, grad_fn=<MulBackward0>)","tensor(10.3777, grad_fn=<MulBackward0>)","tensor(1.8800, grad_fn=<MulBackward0>)","tensor(0.0375, grad_fn=<MulBackward0>)","tensor(0.0091, grad_fn=<MulBackward0>)","tensor(0.0028, grad_fn=<MulBackward0>)","tensor(0.0035, grad_fn=<MulBackward0>)"
20,"tensor(24.1430, grad_fn=<MulBackward0>)","tensor(10.3057, grad_fn=<MulBackward0>)","tensor(1.9510, grad_fn=<MulBackward0>)","tensor(0.0329, grad_fn=<MulBackward0>)","tensor(0.0088, grad_fn=<MulBackward0>)","tensor(0.0026, grad_fn=<MulBackward0>)","tensor(0.0024, grad_fn=<MulBackward0>)"
21,"tensor(24.0335, grad_fn=<MulBackward0>)","tensor(10.2208, grad_fn=<MulBackward0>)","tensor(1.9487, grad_fn=<MulBackward0>)","tensor(0.0281, grad_fn=<MulBackward0>)","tensor(0.0077, grad_fn=<MulBackward0>)","tensor(0.0018, grad_fn=<MulBackward0>)","tensor(0.0012, grad_fn=<MulBackward0>)"
22,"tensor(23.8936, grad_fn=<MulBackward0>)","tensor(10.1498, grad_fn=<MulBackward0>)","tensor(1.9648, grad_fn=<MulBackward0>)","tensor(0.0258, grad_fn=<MulBackward0>)","tensor(0.0061, grad_fn=<MulBackward0>)","tensor(0.0008, grad_fn=<MulBackward0>)","tensor(0.0012, grad_fn=<MulBackward0>)"
23,"tensor(23.7491, grad_fn=<MulBackward0>)","tensor(10.0038, grad_fn=<MulBackward0>)","tensor(2.0032, grad_fn=<MulBackward0>)","tensor(0.0208, grad_fn=<MulBackward0>)","tensor(0.0041, grad_fn=<MulBackward0>)","tensor(0.0009, grad_fn=<MulBackward0>)","tensor(0.0005, grad_fn=<MulBackward0>)"
24,"tensor(23.6138, grad_fn=<MulBackward0>)","tensor(9.8428, grad_fn=<MulBackward0>)","tensor(2.0382, grad_fn=<MulBackward0>)","tensor(0.0177, grad_fn=<MulBackward0>)","tensor(0.0036, grad_fn=<MulBackward0>)","tensor(0.0005, grad_fn=<MulBackward0>)","tensor(0.0005, grad_fn=<MulBackward0>)"
25,"tensor(23.4920, grad_fn=<MulBackward0>)","tensor(9.6870, grad_fn=<MulBackward0>)","tensor(2.0221, grad_fn=<MulBackward0>)","tensor(0.0156, grad_fn=<MulBackward0>)","tensor(0.0028, grad_fn=<MulBackward0>)","tensor(0.0004, grad_fn=<MulBackward0>)","tensor(0.0002, grad_fn=<MulBackward0>)"
26,"tensor(23.3347, grad_fn=<MulBackward0>)","tensor(9.5074, grad_fn=<MulBackward0>)","tensor(2.0026, grad_fn=<MulBackward0>)","tensor(0.0150, grad_fn=<MulBackward0>)","tensor(0.0023, grad_fn=<MulBackward0>)","tensor(0.0003, grad_fn=<MulBackward0>)","tensor(0.0002, grad_fn=<MulBackward0>)"
27,"tensor(23.1969, grad_fn=<MulBackward0>)","tensor(9.3496, grad_fn=<MulBackward0>)","tensor(1.9376, grad_fn=<MulBackward0>)","tensor(0.0145, grad_fn=<MulBackward0>)","tensor(0.0017, grad_fn=<MulBackward0>)","tensor(0.0002, grad_fn=<MulBackward0>)","tensor(0.0001, grad_fn=<MulBackward0>)"
28,"tensor(23.0608, grad_fn=<MulBackward0>)","tensor(9.1614, grad_fn=<MulBackward0>)","tensor(1.8578, grad_fn=<MulBackward0>)","tensor(0.0155, grad_fn=<MulBackward0>)","tensor(0.0019, grad_fn=<MulBackward0>)","tensor(0.0002, grad_fn=<MulBackward0>)","tensor(9.7036e-05, grad_fn=<MulBackward0>)"
29,"tensor(22.9033, grad_fn=<MulBackward0>)","tensor(8.9719, grad_fn=<MulBackward0>)","tensor(1.7762, grad_fn=<MulBackward0>)","tensor(0.0151, grad_fn=<MulBackward0>)","tensor(0.0016, grad_fn=<MulBackward0>)","tensor(0.0001, grad_fn=<MulBackward0>)","tensor(5.0485e-05, grad_fn=<MulBackward0>)"
